Identifier,Project ID,Phase,Structure ID,Water Depth,Height Reference,comments
24A535_FEED_DP-A1_L0_G0_S0,24A535,FEED,DP-A1_L0_G0_S0,39.8,MSL,-
24A535_FEED_DP-A1_L0_G1_S1,24A536,FEED,DP-A1_L0_G1_S1,39.8,LAT,-
