Elevation [m],Mass [kg],commment
5.6,70000,TP/MP flange
4.2,9000,Airtight platform
0.3,100000,Skirt
-5,1,Skirt Lower end
-43.3,1,dummy to have same number of Bladed nodes as in DP B1 v2
