Identifier,Project ID,Phase,Structure ID,Water Depth [m],Height Reference,Comments
24A535_FEED_DP-A1_L0_G0_S0,24A535,FEED,DP-A1_L0_G0_S0,39.8,LAT,-
24A535_FEED_DP-A1_L0_G1_S1,24A536,FEED,DP-A1_L0_G1_S1,39.8,MSL,-
