Section,Top [m],Bottom [m],"D, top [m]","D, bottom [m]",t [mm]
1,21.47,17.5,8,8,102
2,17.5,13.5,8,8,102
3,13.5,9.5,8,8,124
4,9.5,5.8,8,8,110
